,Date,Open,High,Low,Close,Volume
2017-01-01 00:00:00,2017-01-01 00:00:00,957.57,968.39,940.0,968.29,12869720
2017-01-02 00:00:00,2017-01-02 00:00:00,968.29,1009.87,960.9,1001.15,20292354
2017-01-03 00:00:00,2017-01-03 00:00:00,1001.15,1035.0,996.54,1022.76,37013221
2017-01-04 00:00:00,2017-01-04 00:00:00,1022.76,1040.66,1003.0,1036.9,21522604
2017-01-05 00:00:00,2017-01-05 00:00:00,1036.9,1177.9,1036.49,1152.0,59945268
2017-01-06 00:00:00,2017-01-06 00:00:00,1152.0,1180.45,876.08,1005.33,93256039
2017-01-07 00:00:00,2017-01-07 00:00:00,1005.33,1029.24,841.75,895.85,54631519
2017-01-08 00:00:00,2017-01-08 00:00:00,895.85,912.72,805.03,908.22,34472340
2017-01-09 00:00:00,2017-01-09 00:00:00,908.22,939.33,877.58,909.25,25132654
2017-01-10 00:00:00,2017-01-10 00:00:00,909.25,911.04,860.21,895.46,17125191
2017-01-11 00:00:00,2017-01-11 00:00:00,895.46,916.99,893.38,904.0,10754420
2017-01-12 00:00:00,2017-01-12 00:00:00,904.0,918.9,725.44,764.2,40654731
2017-01-13 00:00:00,2017-01-13 00:00:00,764.2,819.87,724.0,789.37,21958396
2017-01-14 00:00:00,2017-01-14 00:00:00,789.37,831.11,752.91,822.3,16685784
2017-01-15 00:00:00,2017-01-15 00:00:00,822.3,836.1,796.07,808.9,12374030
2017-01-16 00:00:00,2017-01-16 00:00:00,808.9,819.0,800.86,816.54,7907074
2017-01-17 00:00:00,2017-01-17 00:00:00,816.54,834.99,811.56,824.03,9586760
2017-01-18 00:00:00,2017-01-18 00:00:00,824.03,912.63,822.98,903.71,21292139
2017-01-19 00:00:00,2017-01-19 00:00:00,903.71,915.0,830.0,880.0,20864102
2017-01-20 00:00:00,2017-01-20 00:00:00,880.0,905.6,874.16,893.0,13326281
2017-01-21 00:00:00,2017-01-21 00:00:00,893.0,897.46,877.1,890.59,9021036
2017-01-22 00:00:00,2017-01-22 00:00:00,890.59,928.0,888.05,917.4,10845428
2017-01-23 00:00:00,2017-01-23 00:00:00,917.4,935.56,878.55,921.54,17679151
2017-01-24 00:00:00,2017-01-24 00:00:00,921.54,928.0,905.63,910.22,9519013
2017-01-25 00:00:00,2017-01-25 00:00:00,910.22,927.54,878.47,883.18,17176581
2017-01-26 00:00:00,2017-01-26 00:00:00,883.18,903.06,882.5,894.19,8284461
2017-01-27 00:00:00,2017-01-27 00:00:00,894.19,918.04,892.24,913.26,6868194
2017-01-28 00:00:00,2017-01-28 00:00:00,913.26,921.3,904.0,915.7,11963721
2017-01-29 00:00:00,2017-01-29 00:00:00,915.7,921.0,915.19,917.9,2826407
2017-01-30 00:00:00,2017-01-30 00:00:00,917.9,920.02,911.04,912.71,2692282
2017-01-31 00:00:00,2017-01-31 00:00:00,912.71,920.3,910.01,916.26,2969419
2017-02-01 00:00:00,2017-02-01 00:00:00,916.26,973.95,916.36,969.15,14230533
2017-02-02 00:00:00,2017-02-02 00:00:00,969.15,989.0,960.92,985.3,9316705
2017-02-03 00:00:00,2017-02-03 00:00:00,985.3,1014.84,968.89,1008.0,18804912
2017-02-04 00:00:00,2017-02-04 00:00:00,1008.0,1027.01,985.75,1017.73,22318525
2017-02-05 00:00:00,2017-02-05 00:00:00,1017.73,1046.67,1003.0,1035.09,24541017
2017-02-06 00:00:00,2017-02-06 00:00:00,1035.09,1037.38,1005.43,1014.83,20312523
2017-02-07 00:00:00,2017-02-07 00:00:00,1014.83,1033.0,1012.75,1025.0,7211615
2017-02-08 00:00:00,2017-02-08 00:00:00,1025.0,1057.52,1024.72,1054.37,15270248
2017-02-09 00:00:00,2017-02-09 00:00:00,1054.37,1072.78,994.8,1052.62,35838124
2017-02-10 00:00:00,2017-02-10 00:00:00,1052.62,1081.05,927.72,984.02,58932811
2017-02-11 00:00:00,2017-02-11 00:00:00,984.02,1003.0,934.5,988.11,30153996
2017-02-12 00:00:00,2017-02-12 00:00:00,988.11,1010.95,978.01,1003.0,15308914
2017-02-13 00:00:00,2017-02-13 00:00:00,1003.0,1006.53,992.23,995.09,6852679
2017-02-14 00:00:00,2017-02-14 00:00:00,995.09,1002.97,956.13,990.95,15705639
2017-02-15 00:00:00,2017-02-15 00:00:00,990.95,1021.79,975.0,1008.5,16691893
2017-02-16 00:00:00,2017-02-16 00:00:00,1008.5,1012.0,994.01,1006.7,5840460
2017-02-17 00:00:00,2017-02-17 00:00:00,1006.7,1044.48,1006.51,1035.65,16624041
2017-02-18 00:00:00,2017-02-18 00:00:00,1035.65,1057.5,1026.3,1050.1,21722362
2017-02-19 00:00:00,2017-02-19 00:00:00,1050.1,1067.86,1022.05,1056.02,19298680
2017-02-20 00:00:00,2017-02-20 00:00:00,1056.02,1058.16,1037.59,1050.44,12108730
2017-02-21 00:00:00,2017-02-21 00:00:00,1050.44,1094.7,1042.0,1085.07,16509215
